time,err,vals,log_values
0.06999999999999995,297.3399999999999,1663.5,7.416679095458531
0.5,113.18999999999994,570.73,6.346916243184019
0.99,67.69999999999999,310.31,5.737571797812276
1.49,53.04000000000002,267.39,5.588708266810736
2.5,41.359999999999985,208.59,5.3403706027790365
3.5,35.620000000000005,179.59,5.190676475030645
4.49,31.180000000000007,157.19,5.057455264740146
5.49,39.97,154.38,5.039417095521708
6.49,28.239999999999995,118.46,4.774575350848819
7.5,28.47999999999999,130.53,4.871603085400698
8.48,24.60000000000001,124.05,4.82068471013781
9.49,26.749999999999986,112.2,4.720282993088596
