time,err,vals,log_values
0.12,1984.2800000000007,6654.74,8.803084661696376
1.02,286.26,712.58,6.568892186541554
1.49,212.86999999999995,477.91,6.169422430244873
2.51,197.82,385.18,5.953710757496066
3.49,238.03999999999996,415.6,6.029723259225072
4.5,249.7,332.41,5.806369146764632
5.47,204.32000000000005,322.12,5.7749241469273445
5.48,180.63541059275136,322.12,5.7749241469273445
6.51,210.42523326189863,295.80451875750657,5.689698826554562
7.51,207.22398417445774,275.8536061983374,5.619870312673907
8.49,235.97453877493348,344.36185384923346,5.841693005238016
9.49,192.93215175564615,243.598366577962,5.495520830468277
10.46,274.3971137225349,346.4934912747569,5.847864034253697
11.5,253.94553187480867,357.0075463344559,5.877756919747984
12.45,78.46853213385772,123.69565786684879,4.817824176655014
13.49,15.353858182417621,110.15482938087277,4.701886915962896
13.49,101.35967952830896,110.15482938087278,4.701886915962896
14.52,68.92784794201123,95.13186067963947,4.555263936363145
15.5,90.85448764664943,110.83521745610979,4.7080445708873055
16.5,128.35294243321215,119.5850081036578,4.784027483355661
17.49,299.7653781879242,206.06686838678402,5.3282007199365
18.48,138.23217728565362,113.15760875291879,4.728781614652287
19.47,130.53018427397058,113.07142626338877,4.728019709853525
