time,err,vals,log_values
0.07999999999999996,658.2199999999998,3319.05,8.10743387638505
0.5,228.40999999999985,1277.71,7.1528246921300065
0.99,175.75,805.52,6.691488031607359
1.49,126.78999999999996,639.32,6.460405111500453
2.49,98.90999999999997,498.73,6.21206486714941
3.49,83.33999999999997,466.21,6.144636176393059
4.49,79.61000000000001,401.4,5.9949584363622375
5.49,87.71999999999997,442.3,6.0919883848742815
6.49,66.0,302.5,5.7120812774708964
7.5,72.96000000000004,367.89,5.907783980442044
8.49,70.25,322.01,5.7745826009628045
9.5,56.52999999999997,316.23,5.756469796935208
