time,err,vals,log_values
0.12,860.1800000000003,6614.33,8.79699378646096
1.0,362.7900000000002,1802.55,7.4969576080254186
1.49,234.5,1347.53,7.20602856598616
2.5,365.30999999999995,1366.7,7.220154353970755
3.51,299.53999999999996,1162.74,7.0585345677662135
4.53,283.62,895.66,6.797560876674425
5.51,320.39,980.57,6.888134035234967
5.52,300.6934373181698,980.57,6.888134035234967
6.53,511.6028667019308,1073.492039407564,6.978672201741796
7.49,308.55148307326095,772.007610685004,6.6489944083764465
8.49,342.7067512562815,736.5815694260777,6.602019982554946
9.5,421.41687952922507,863.7885477386934,6.761328002437663
10.5,440.7637512562815,882.7982755884686,6.783096721037299
11.5,320.2607492726792,780.3065368950013,6.659686838500161
12.55,351.3039201269505,773.4339886273473,6.650840325230243
13.51,254.82890293573126,673.302257074848,6.512194347802928
14.52,288.30988336418943,783.5742390901878,6.663865810453658
15.530000000000001,414.8296068500396,776.7146578947369,6.655073047263411
16.51,395.4438339063739,602.9169891563079,6.401779524160053
17.5,796.1004308384024,830.1260282993916,6.721577530588485
18.51,507.5701072467601,929.8687476857974,6.835043444666663
19.5,323.81372705633424,648.5740503834965,6.474776184413424
