time,err,vals,log_values
0.07999999999999996,557.3499999999999,2398.62,7.78264885096014
0.48,166.18000000000006,873.77,6.772817183128684
0.99,119.35000000000002,565.41,6.337551131696646
1.49,85.75,450.88,6.111201228710315
2.49,62.68000000000001,329.58,5.797819116582584
3.5,53.06,312.81,5.745595977469612
4.48,58.45999999999998,276.91,5.623692543645438
5.5,56.44999999999999,267.44,5.588895242111843
6.5,46.22,198.92,5.292902733846538
7.51,47.94999999999999,188.8,5.240688253711401
8.51,38.48999999999998,182.33,5.205818232051113
9.51,30.700000000000017,161.41,5.083947711785188
