time,err,vals,log_values
0.06999999999999995,1516.62,7974.46,8.983999213761765
0.49,698.9099999999999,3007.88,8.008990790656938
0.99,425.4899999999998,2237.26,7.713007181826137
1.49,327.69000000000005,1723.04,7.451845451580571
2.49,285.0799999999999,1499.01,7.3125601691944215
3.5,275.2800000000002,1304.1,7.173268426662856
4.49,237.18999999999983,1398.16,7.242912365458106
5.5,313.76,1350.31,7.208089474701257
6.49,212.00999999999988,1004.36,6.912105801719395
7.49,215.76999999999998,1134.54,7.033982561421183
8.5,191.0200000000001,1004.36,6.912105801719395
9.5,167.44000000000005,987.03,6.894700434108337
