time,err,vals,log_values
0.14,820.04,4479.52,8.407271176811681
1.0,232.01999999999998,1055.82,6.9620729951917255
1.52,171.51999999999998,851.94,6.7475161018143215
2.51,172.95000000000005,724.81,6.585909551543085
3.5199999999999996,114.99000000000001,571.28,6.347879457240855
4.51,121.97000000000003,579.42,6.362027603206881
5.54,129.89,544.42,6.299721007795371
5.54,109.57398198999441,544.42,6.299721007795371
6.51,134.32859899944415,484.9120795997776,6.183967595328711
7.52,99.18793729849915,415.70809649805443,6.029983322850385
8.53,126.33933385214007,412.07661234018894,6.021209284344556
9.51,140.68369627570868,444.29998176764866,6.096499968905735
10.49,166.6609129516398,440.41429371873255,6.087715860540572
11.51,158.53849338521403,386.3172847137298,5.95665901294701
12.53,133.2270488048916,352.0481792106725,5.863768038989468
13.53,127.67087804335738,357.0717322957198,5.877936692396085
14.5,113.84702834908282,327.91091450806,5.792741969384037
15.510000000000002,117.49061745414119,310.4797905503057,5.738118812460789
16.52,203.52047715397447,437.3880569205113,6.080820803161409
17.51,138.97689872151193,278.3411557531962,5.628847540290323
18.49,139.8484549193997,273.8139055030572,5.612448698646749
19.53,141.7852464702612,271.4050210116731,5.6036122476411085
