time,err,vals,log_values
0.07999999999999996,824.4200000000001,3905.55,8.270153897426473
0.5,267.92999999999984,1579.38,7.364787643946707
0.99,161.71000000000004,953.25,6.859877198737673
1.49,160.47000000000003,760.16,6.633528937438611
2.49,121.46999999999991,638.69,6.459419203642094
3.5,111.32000000000005,527.37,6.267902389479909
4.49,131.64,518.27,6.25049634198467
5.5,100.29999999999995,527.37,6.267902389479909
6.49,88.03000000000003,378.83,5.937087555641651
7.51,99.63,392.26,5.971924885233365
8.5,79.97000000000003,378.83,5.937087555641651
9.5,77.92000000000002,335.37,5.815234399950344
