t,y,err,exp_y
7.74,4.96,0.09999999999999964,9011908.319895148
15.14,4.96,0.16999999999999993,9011908.319895148
29.23,4.75,0.15000000000000036,5847040.422249794
62.24,4.3,0.21999999999999975,2161148.231328424
92.17,4.24,0.22999999999999954,1877839.9142501203
157.19,4.19,0.29000000000000004,1667785.6381447741
220.14,4.03,0.3700000000000001,1129927.1951995266
