t,y,err,exp_y
8.07,4.73,0.0,5605461.930166557
15.12,4.51,0.0,3481492.138019884
29.2,4.09,0.16000000000000014,1309884.73210595
62.2,3.3,0.6100000000000003,153157.89852644483
92.29,3.12,0.56,87406.94478014333
157.13,2.84,0.7000000000000002,34133.70261743735
220.58,2.29,0.77,3966.019300910152
